sample_id;collected_at;taxon_id;collection;id_feature;feature_value;FOI;original_data
BRS15-02;TVL;2608664;SACHA;IFC-13;IFV-2;IFG-4;BRS15-02 - ANACARDIACEAE Searsia Searsia pyroides
BRS15-02;TVL;2608664;SACHA;IFC-22;IFV-2;IFG-4;BRS15-02 - ANACARDIACEAE Searsia Searsia pyroides
BRS15-02;TVL;2608664;SACHA;IFC-31;IFV-2;IFG-4;BRS15-02 - ANACARDIACEAE Searsia Searsia pyroides
BRS15-02;TVL;2608664;SACHA;IFC-32;IFV-3;IFG-4;BRS15-02 - ANACARDIACEAE Searsia Searsia pyroides
BRS15-02;TVL;2608664;SACHA;IFC-33;IFV-2;IFG-4;BRS15-02 - ANACARDIACEAE Searsia Searsia pyroides
BRS15-02;TVL;2608664;SACHA;IFC-36;IFV-3;IFG-4;BRS15-02 - ANACARDIACEAE Searsia Searsia pyroides
BRS15-02;TVL;2608664;SACHA;IFC-41;IFV-2;IFG-4;BRS15-02 - ANACARDIACEAE Searsia Searsia pyroides
BRS15-02;TVL;2608664;SACHA;IFC-49;IFV-2;IFG-4;BRS15-02 - ANACARDIACEAE Searsia Searsia pyroides
BRS15-02;TVL;2608664;SACHA;IFC-57;IFV-3;IFG-4;BRS15-02 - ANACARDIACEAE Searsia Searsia pyroides
BRS15-02;TVL;2608664;SACHA;IFC-58;IFV-4;IFG-4;BRS15-02 - ANACARDIACEAE Searsia Searsia pyroides
BRS15-02;TVL;2608664;SACHA;IFC-61;IFV-2;IFG-5;BRS15-02 - ANACARDIACEAE Searsia Searsia pyroides
BRS15-02;TVL;2608664;SACHA;IFC-65;IFV-2;IFG-5;BRS15-02 - ANACARDIACEAE Searsia Searsia pyroides
BRS15-02;TVL;2608664;SACHA;IFC-66;IFV-2;IFG-5;BRS15-02 - ANACARDIACEAE Searsia Searsia pyroides
BRS15-02;TVL;2608664;SACHA;IFC-68;IFV-2;IFG-5;BRS15-02 - ANACARDIACEAE Searsia Searsia pyroides
BRS15-02;TVL;2608664;SACHA;IFC-75;IFV-2;IFG-6;BRS15-02 - ANACARDIACEAE Searsia Searsia pyroides
BRS15-02;TVL;2608664;SACHA;IFC-78;IFV-2;IFG-6;BRS15-02 - ANACARDIACEAE Searsia Searsia pyroides
BRS15-02;TVL;2608664;SACHA;IFC-96;IFV-2;IFG-7;BRS15-02 - ANACARDIACEAE Searsia Searsia pyroides
BRS15-02;TVL;2608664;SACHA;IFC-102;IFV-3;IFG-7;BRS15-02 - ANACARDIACEAE Searsia Searsia pyroides
BRS15-02;TVL;2608664;SACHA;IFC-105;IFV-2;IFG-7;BRS15-02 - ANACARDIACEAE Searsia Searsia pyroides
BRS15-02;TVL;2608664;SACHA;IFC-109;IFV-2;IFG-7;BRS15-02 - ANACARDIACEAE Searsia Searsia pyroides
BRS15-02;TVL;2608664;SACHA;IFC-116;IFV-2;IFG-7;BRS15-02 - ANACARDIACEAE Searsia Searsia pyroides
BRS15-02;TVL;2608664;SACHA;IFC-130;IFV-2;IFG-9;BRS15-02 - ANACARDIACEAE Searsia Searsia pyroides
BRS15-02;TVL;2608664;SACHA;IFC-136;IFV-2;IFG-10;BRS15-02 - ANACARDIACEAE Searsia Searsia pyroides
BRS15-02;TVL;2608664;SACHA;IFC-137;IFV-2;IFG-10;BRS15-02 - ANACARDIACEAE Searsia Searsia pyroides
BRS15-02;TVL;2608664;SACHA;IFC-156;IFV-3;IFG-10;BRS15-02 - ANACARDIACEAE Searsia Searsia pyroides
BRS15-03;TVL;2470721;SACHA;IFC-2;IFV-2;IFG-3;BRS15-03 - RHAMNACEAE Ziziphus  Ziziphus mucronata
BRS15-03;TVL;2470721;SACHA;IFC-5;IFV-2;IFG-4;BRS15-03 - RHAMNACEAE Ziziphus  Ziziphus mucronata
BRS15-03;TVL;2470721;SACHA;IFC-13;IFV-2;IFG-4;BRS15-03 - RHAMNACEAE Ziziphus  Ziziphus mucronata
BRS15-03;TVL;2470721;SACHA;IFC-22;IFV-2;IFG-4;BRS15-03 - RHAMNACEAE Ziziphus  Ziziphus mucronata
BRS15-03;TVL;2470721;SACHA;IFC-26;IFV-2;IFG-4;BRS15-03 - RHAMNACEAE Ziziphus  Ziziphus mucronata
BRS15-03;TVL;2470721;SACHA;IFC-30;IFV-2;IFG-4;BRS15-03 - RHAMNACEAE Ziziphus  Ziziphus mucronata
BRS15-03;TVL;2470721;SACHA;IFC-41;IFV-2;IFG-4;BRS15-03 - RHAMNACEAE Ziziphus  Ziziphus mucronata
BRS15-03;TVL;2470721;SACHA;IFC-48;IFV-2;IFG-4;BRS15-03 - RHAMNACEAE Ziziphus  Ziziphus mucronata
BRS15-03;TVL;2470721;SACHA;IFC-49;IFV-2;IFG-4;BRS15-03 - RHAMNACEAE Ziziphus  Ziziphus mucronata
BRS15-03;TVL;2470721;SACHA;IFC-61;IFV-2;IFG-5;BRS15-03 - RHAMNACEAE Ziziphus  Ziziphus mucronata
BRS15-03;TVL;2470721;SACHA;IFC-66;IFV-2;IFG-5;BRS15-03 - RHAMNACEAE Ziziphus  Ziziphus mucronata
BRS15-03;TVL;2470721;SACHA;IFC-69;IFV-2;IFG-5;BRS15-03 - RHAMNACEAE Ziziphus  Ziziphus mucronata
BRS15-03;TVL;2470721;SACHA;IFC-78;IFV-2;IFG-6;BRS15-03 - RHAMNACEAE Ziziphus  Ziziphus mucronata
BRS15-03;TVL;2470721;SACHA;IFC-79;IFV-3;IFG-6;BRS15-03 - RHAMNACEAE Ziziphus  Ziziphus mucronata
BRS15-03;TVL;2470721;SACHA;IFC-91;IFV-2;IFG-6;BRS15-03 - RHAMNACEAE Ziziphus  Ziziphus mucronata
BRS15-03;TVL;2470721;SACHA;IFC-92;IFV-2;IFG-6;BRS15-03 - RHAMNACEAE Ziziphus  Ziziphus mucronata
BRS15-03;TVL;2470721;SACHA;IFC-96;IFV-2;IFG-7;BRS15-03 - RHAMNACEAE Ziziphus  Ziziphus mucronata
BRS15-03;TVL;2470721;SACHA;IFC-105;IFV-2;IFG-7;BRS15-03 - RHAMNACEAE Ziziphus  Ziziphus mucronata
BRS15-03;TVL;2470721;SACHA;IFC-116;IFV-2;IFG-7;BRS15-03 - RHAMNACEAE Ziziphus  Ziziphus mucronata
BRS15-03;TVL;2470721;SACHA;IFC-136;IFV-2;IFG-10;BRS15-03 - RHAMNACEAE Ziziphus  Ziziphus mucronata
BRS15-03;TVL;2470721;SACHA;IFC-137;IFV-2;IFG-10;BRS15-03 - RHAMNACEAE Ziziphus  Ziziphus mucronata
BRS15-03;TVL;2470721;SACHA;IFC-142;IFV-2;IFG-10;BRS15-03 - RHAMNACEAE Ziziphus  Ziziphus mucronata
BRS15-3-03;TVL;2833265;SACHA;IFC-2;IFV-2;IFG-3;BRS15-3-03 - MALVACEAE GREWIOIDEAE Grewia  Grewia occidentalis
BRS15-3-03;TVL;2833265;SACHA;IFC-5;IFV-2;IFG-4;BRS15-3-03 - MALVACEAE GREWIOIDEAE Grewia  Grewia occidentalis
BRS15-3-03;TVL;2833265;SACHA;IFC-12;IFV-3;IFG-4;BRS15-3-03 - MALVACEAE GREWIOIDEAE Grewia  Grewia occidentalis
BRS15-3-03;TVL;2833265;SACHA;IFC-13;IFV-2;IFG-4;BRS15-3-03 - MALVACEAE GREWIOIDEAE Grewia  Grewia occidentalis
BRS15-3-03;TVL;2833265;SACHA;IFC-22;IFV-2;IFG-4;BRS15-3-03 - MALVACEAE GREWIOIDEAE Grewia  Grewia occidentalis
BRS15-3-03;TVL;2833265;SACHA;IFC-24;IFV-2;IFG-4;BRS15-3-03 - MALVACEAE GREWIOIDEAE Grewia  Grewia occidentalis
BRS15-3-03;TVL;2833265;SACHA;IFC-30;IFV-2;IFG-4;BRS15-3-03 - MALVACEAE GREWIOIDEAE Grewia  Grewia occidentalis
BRS15-3-03;TVL;2833265;SACHA;IFC-41;IFV-2;IFG-4;BRS15-3-03 - MALVACEAE GREWIOIDEAE Grewia  Grewia occidentalis
BRS15-3-03;TVL;2833265;SACHA;IFC-47;IFV-2;IFG-4;BRS15-3-03 - MALVACEAE GREWIOIDEAE Grewia  Grewia occidentalis
BRS15-3-03;TVL;2833265;SACHA;IFC-48;IFV-2;IFG-4;BRS15-3-03 - MALVACEAE GREWIOIDEAE Grewia  Grewia occidentalis
BRS15-3-03;TVL;2833265;SACHA;IFC-56;IFV-3;IFG-4;BRS15-3-03 - MALVACEAE GREWIOIDEAE Grewia  Grewia occidentalis
BRS15-3-03;TVL;2833265;SACHA;IFC-61;IFV-2;IFG-5;BRS15-3-03 - MALVACEAE GREWIOIDEAE Grewia  Grewia occidentalis
BRS15-3-03;TVL;2833265;SACHA;IFC-63;IFV-3;IFG-5;BRS15-3-03 - MALVACEAE GREWIOIDEAE Grewia  Grewia occidentalis
BRS15-3-03;TVL;2833265;SACHA;IFC-66;IFV-2;IFG-5;BRS15-3-03 - MALVACEAE GREWIOIDEAE Grewia  Grewia occidentalis
BRS15-3-03;TVL;2833265;SACHA;IFC-69;IFV-2;IFG-5;BRS15-3-03 - MALVACEAE GREWIOIDEAE Grewia  Grewia occidentalis
BRS15-3-03;TVL;2833265;SACHA;IFC-78;IFV-2;IFG-6;BRS15-3-03 - MALVACEAE GREWIOIDEAE Grewia  Grewia occidentalis
BRS15-3-03;TVL;2833265;SACHA;IFC-79;IFV-3;IFG-6;BRS15-3-03 - MALVACEAE GREWIOIDEAE Grewia  Grewia occidentalis
BRS15-3-03;TVL;2833265;SACHA;IFC-80;IFV-3;IFG-6;BRS15-3-03 - MALVACEAE GREWIOIDEAE Grewia  Grewia occidentalis
BRS15-3-03;TVL;2833265;SACHA;IFC-91;IFV-3;IFG-6;BRS15-3-03 - MALVACEAE GREWIOIDEAE Grewia  Grewia occidentalis
BRS15-3-03;TVL;2833265;SACHA;IFC-92;IFV-2;IFG-6;BRS15-3-03 - MALVACEAE GREWIOIDEAE Grewia  Grewia occidentalis
BRS15-3-03;TVL;2833265;SACHA;IFC-93;IFV-3;IFG-6;BRS15-3-03 - MALVACEAE GREWIOIDEAE Grewia  Grewia occidentalis
BRS15-3-03;TVL;2833265;SACHA;IFC-97;IFV-2;IFG-7;BRS15-3-03 - MALVACEAE GREWIOIDEAE Grewia  Grewia occidentalis
BRS15-3-03;TVL;2833265;SACHA;IFC-98;IFV-3;IFG-7;BRS15-3-03 - MALVACEAE GREWIOIDEAE Grewia  Grewia occidentalis
BRS15-3-03;TVL;2833265;SACHA;IFC-102;IFV-3;IFG-7;BRS15-3-03 - MALVACEAE GREWIOIDEAE Grewia  Grewia occidentalis
BRS15-3-03;TVL;2833265;SACHA;IFC-109;IFV-2;IFG-7;BRS15-3-03 - MALVACEAE GREWIOIDEAE Grewia  Grewia occidentalis
BRS15-3-03;TVL;2833265;SACHA;IFC-110;IFV-2;IFG-7;BRS15-3-03 - MALVACEAE GREWIOIDEAE Grewia  Grewia occidentalis
BRS15-3-03;TVL;2833265;SACHA;IFC-111;IFV-2;IFG-7;BRS15-3-03 - MALVACEAE GREWIOIDEAE Grewia  Grewia occidentalis
BRS15-3-03;TVL;2833265;SACHA;IFC-115;IFV-2;IFG-7;BRS15-3-03 - MALVACEAE GREWIOIDEAE Grewia  Grewia occidentalis
BRS15-3-03;TVL;2833265;SACHA;IFC-116;IFV-3;IFG-7;BRS15-3-03 - MALVACEAE GREWIOIDEAE Grewia  Grewia occidentalis
BRS15-3-03;TVL;2833265;SACHA;IFC-136;IFV-3;IFG-10;BRS15-3-03 - MALVACEAE GREWIOIDEAE Grewia  Grewia occidentalis
BRS15-3-03;TVL;2833265;SACHA;IFC-137;IFV-3;IFG-10;BRS15-3-03 - MALVACEAE GREWIOIDEAE Grewia  Grewia occidentalis
BRS15-3-03;TVL;2833265;SACHA;IFC-140;IFV-3;IFG-10;BRS15-3-03 - MALVACEAE GREWIOIDEAE Grewia  Grewia occidentalis
BRS15-3-03;TVL;2833265;SACHA;IFC-159;IFV-2;IFG-10;BRS15-3-03 - MALVACEAE GREWIOIDEAE Grewia  Grewia occidentalis
BRS18-1-02;TVL;2479831;SACHA;IFC-1;IFV-2;IFG-3;BRS18-1-02 - ANACARDIACEAE Sclerocarya  Sclerocarya birrea subsp. caffra
BRS18-1-02;TVL;2479831;SACHA;IFC-4;IFV-3;IFG-4;BRS18-1-02 - ANACARDIACEAE Sclerocarya  Sclerocarya birrea subsp. caffra
BRS18-1-02;TVL;2479831;SACHA;IFC-5;IFV-2;IFG-4;BRS18-1-02 - ANACARDIACEAE Sclerocarya  Sclerocarya birrea subsp. caffra
BRS18-1-02;TVL;2479831;SACHA;IFC-13;IFV-2;IFG-4;BRS18-1-02 - ANACARDIACEAE Sclerocarya  Sclerocarya birrea subsp. caffra
BRS18-1-02;TVL;2479831;SACHA;IFC-22;IFV-2;IFG-4;BRS18-1-02 - ANACARDIACEAE Sclerocarya  Sclerocarya birrea subsp. caffra
BRS18-1-02;TVL;2479831;SACHA;IFC-26;IFV-2;IFG-4;BRS18-1-02 - ANACARDIACEAE Sclerocarya  Sclerocarya birrea subsp. caffra
BRS18-1-02;TVL;2479831;SACHA;IFC-31;IFV-2;IFG-4;BRS18-1-02 - ANACARDIACEAE Sclerocarya  Sclerocarya birrea subsp. caffra
BRS18-1-02;TVL;2479831;SACHA;IFC-33;IFV-3;IFG-4;BRS18-1-02 - ANACARDIACEAE Sclerocarya  Sclerocarya birrea subsp. caffra
BRS18-1-02;TVL;2479831;SACHA;IFC-42;IFV-2;IFG-4;BRS18-1-02 - ANACARDIACEAE Sclerocarya  Sclerocarya birrea subsp. caffra
BRS18-1-02;TVL;2479831;SACHA;IFC-49;IFV-2;IFG-4;BRS18-1-02 - ANACARDIACEAE Sclerocarya  Sclerocarya birrea subsp. caffra
BRS18-1-02;TVL;2479831;SACHA;IFC-56;IFV-3;IFG-4;BRS18-1-02 - ANACARDIACEAE Sclerocarya  Sclerocarya birrea subsp. caffra
BRS18-1-02;TVL;2479831;SACHA;IFC-61;IFV-2;IFG-5;BRS18-1-02 - ANACARDIACEAE Sclerocarya  Sclerocarya birrea subsp. caffra
BRS18-1-02;TVL;2479831;SACHA;IFC-63;IFV-3;IFG-5;BRS18-1-02 - ANACARDIACEAE Sclerocarya  Sclerocarya birrea subsp. caffra
BRS18-1-02;TVL;2479831;SACHA;IFC-65;IFV-2;IFG-5;BRS18-1-02 - ANACARDIACEAE Sclerocarya  Sclerocarya birrea subsp. caffra
BRS18-1-02;TVL;2479831;SACHA;IFC-68;IFV-2;IFG-5;BRS18-1-02 - ANACARDIACEAE Sclerocarya  Sclerocarya birrea subsp. caffra
BRS18-1-02;TVL;2479831;SACHA;IFC-75;IFV-2;IFG-6;BRS18-1-02 - ANACARDIACEAE Sclerocarya  Sclerocarya birrea subsp. caffra
BRS18-1-02;TVL;2479831;SACHA;IFC-97;IFV-2;IFG-7;BRS18-1-02 - ANACARDIACEAE Sclerocarya  Sclerocarya birrea subsp. caffra
BRS18-1-02;TVL;2479831;SACHA;IFC-100;IFV-3;IFG-7;BRS18-1-02 - ANACARDIACEAE Sclerocarya  Sclerocarya birrea subsp. caffra
BRS18-1-02;TVL;2479831;SACHA;IFC-109;IFV-2;IFG-7;BRS18-1-02 - ANACARDIACEAE Sclerocarya  Sclerocarya birrea subsp. caffra
BRS18-1-02;TVL;2479831;SACHA;IFC-116;IFV-2;IFG-7;BRS18-1-02 - ANACARDIACEAE Sclerocarya  Sclerocarya birrea subsp. caffra
BRS18-1-02;TVL;2479831;SACHA;IFC-130;IFV-2;IFG-9;BRS18-1-02 - ANACARDIACEAE Sclerocarya  Sclerocarya birrea subsp. caffra
BRS18-1-02;TVL;2479831;SACHA;IFC-136;IFV-2;IFG-10;BRS18-1-02 - ANACARDIACEAE Sclerocarya  Sclerocarya birrea subsp. caffra
BRS18-1-02;TVL;2479831;SACHA;IFC-137;IFV-2;IFG-10;BRS18-1-02 - ANACARDIACEAE Sclerocarya  Sclerocarya birrea subsp. caffra
BRS18-1-02;TVL;2479831;SACHA;IFC-156;IFV-3;IFG-10;BRS18-1-02 - ANACARDIACEAE Sclerocarya  Sclerocarya birrea subsp. caffra
BRS18-1-03;TVL;2543085;SACHA;IFC-1;IFV-2;IFG-3;BRS18-1-03 - SAPINDACEAE Pappea  Pappea capensis
BRS18-1-03;TVL;2543085;SACHA;IFC-5;IFV-2;IFG-4;BRS18-1-03 - SAPINDACEAE Pappea  Pappea capensis
BRS18-1-03;TVL;2543085;SACHA;IFC-12;IFV-3;IFG-4;BRS18-1-03 - SAPINDACEAE Pappea  Pappea capensis
BRS18-1-03;TVL;2543085;SACHA;IFC-13;IFV-2;IFG-4;BRS18-1-03 - SAPINDACEAE Pappea  Pappea capensis
BRS18-1-03;TVL;2543085;SACHA;IFC-22;IFV-2;IFG-4;BRS18-1-03 - SAPINDACEAE Pappea  Pappea capensis
BRS18-1-03;TVL;2543085;SACHA;IFC-24;IFV-2;IFG-4;BRS18-1-03 - SAPINDACEAE Pappea  Pappea capensis
BRS18-1-03;TVL;2543085;SACHA;IFC-30;IFV-2;IFG-4;BRS18-1-03 - SAPINDACEAE Pappea  Pappea capensis
BRS18-1-03;TVL;2543085;SACHA;IFC-40;IFV-3;IFG-4;BRS18-1-03 - SAPINDACEAE Pappea  Pappea capensis
BRS18-1-03;TVL;2543085;SACHA;IFC-41;IFV-2;IFG-4;BRS18-1-03 - SAPINDACEAE Pappea  Pappea capensis
BRS18-1-03;TVL;2543085;SACHA;IFC-49;IFV-2;IFG-4;BRS18-1-03 - SAPINDACEAE Pappea  Pappea capensis
BRS18-1-03;TVL;2543085;SACHA;IFC-58;IFV-4;IFG-4;BRS18-1-03 - SAPINDACEAE Pappea  Pappea capensis
BRS18-1-03;TVL;2543085;SACHA;IFC-61;IFV-2;IFG-5;BRS18-1-03 - SAPINDACEAE Pappea  Pappea capensis
BRS18-1-03;TVL;2543085;SACHA;IFC-65;IFV-2;IFG-5;BRS18-1-03 - SAPINDACEAE Pappea  Pappea capensis
BRS18-1-03;TVL;2543085;SACHA;IFC-66;IFV-2;IFG-5;BRS18-1-03 - SAPINDACEAE Pappea  Pappea capensis
BRS18-1-03;TVL;2543085;SACHA;IFC-69;IFV-2;IFG-5;BRS18-1-03 - SAPINDACEAE Pappea  Pappea capensis
