feature_id;feature_group;feature_subgroup;feature_label;definition;collection;author;hardwood_number;softwood_number;bart_number;feature_value;parent
IFC-27;VESSELS;Intervessel pits size (µm);Large >= 10 µm;;Hardwood;IAWA;27;;;;
IFC-28;VESSELS;Intervessel pits size (µm);Range of intervessel pit size (µm);;Hardwood;IAWA;28;;;;
IFC-29;VESSELS;Vestured pits;Vestured pits;;Hardwood;IAWA;29;;;;
IFC-30;VESSELS;Vessel-ray pitting;"Vessel-ray pits with distinct borders; similar to intervessel pits in size and shape throughout the ray cell";;Hardwood;IAWA;30;;;;
IFC-31;VESSELS;Vessel-ray pitting;Vessel-ray pits with much reduced borders to apparently simple: pits rounded or angular;;Hardwood;IAWA;31;;;;
IFC-32;VESSELS;Vessel-ray pitting;Vessel-ray pits with much reduced borders to apparently simple: pits horizontal (scalariform, gash-like) to vertical (palisade);;Hardwood;IAWA;32;;;;
IFC-33;VESSELS;Vessel-ray pitting;Vessel-ray pits of two distinct sizes or types in the same ray cell;;Hardwood;IAWA;33;;;;
IFC-34;VESSELS;Vessel-ray pitting;Vessel-ray pits unilaterally compound and coarse (over 10 µm);;Hardwood;IAWA;34;;;;
IFC-35;VESSELS;Vessel-ray pitting;Vessel-ray pits restricted to marginal rows;;Hardwood;IAWA;35;;;;
IFC-36;VESSELS;Helical thickenings;Helical thickenings in vessel elements present;;Hardwood;IAWA;36;;;;
IFC-37;VESSELS;Helical thickenings;Helical thickenings throughout body of vessel element;;Hardwood;IAWA;37;;;;
IFC-38;VESSELS;Helical thickenings;Helical thickenings only in vessel element tails;;Hardwood;IAWA;38;;;;
IFC-39;VESSELS;Helical thickenings;Helical thickenings only in narrower vessel elements;;Hardwood;IAWA;39;;;;
IFC-40;VESSELS;Tangential diameter (µm);<= 50 µm;;Hardwood;IAWA;40;;;;
IFC-41;VESSELS;Tangential diameter (µm);50 - 100 µm;;Hardwood;IAWA;41;;;;
IFC-42;VESSELS;Tangential diameter (µm);100 - 200 µm;;Hardwood;IAWA;42;;;;
IFC-43;VESSELS;Tangential diameter (µm);>= 200 µm;;Hardwood;IAWA;43;;;;
IFC-44;VESSELS;Tangential diameter (µm);Mean, +/– Standard Deviation, Range, n = x;;Hardwood;IAWA;44;;;Value;
IFC-45;VESSELS;Tangential diameter (µm);Vessels of two distinct diameter classes, wood not ring-porous;;Hardwood;IAWA;45;;;;
IFC-46;VESSELS;Vessel density (V/mm²);<= 5 vessels per square millimetre;;Hardwood;IAWA;46;;;;
IFC-47;VESSELS;Vessel density (V/mm²);5 - 20 vessels per square millimetre;;Hardwood;IAWA;47;;;;
IFC-48;VESSELS;Vessel density (V/mm²);20 - 40 vessels per square millimetre;;Hardwood;IAWA;48;;;;
IFC-49;VESSELS;Vessel density (V/mm²);40 - 100 vessels per square millimetre;;Hardwood;IAWA;49;;;;
IFC-50;VESSELS;Vessel density (V/mm²);>= 100 vessels per square millimetre;;Hardwood;IAWA;50;;;;
IFC-51;VESSELS;Vessel density (V/mm²);Mean, +/– Standard Deviation, Range, n = x;;Hardwood;IAWA;51;;;Value;
IFC-52;VESSELS;Mean vessel element length;<= 350 µm;;Hardwood;IAWA;52;;;;
IFC-53;VESSELS;Mean vessel element length;350–800 µm;;Hardwood;IAWA;53;;;;
IFC-54;VESSELS;Mean vessel element length;>= 800 µm;;Hardwood;IAWA;54;;;;
IFC-55;VESSELS;Mean vessel element length;Mean, +/– Standard Deviation, Range, n = x;;Hardwood;IAWA;55;;;Value;
IFC-56;VESSELS;Tyloses and deposits in vessels;Tyloses common;;Hardwood;IAWA;56;;;;
IFC-57;VESSELS;Tyloses and deposits in vessels;Tyloses sclerotic;;Hardwood;IAWA;57;;;;
IFC-58;VESSELS;Tyloses and deposits in vessels;Gums and other deposits in heartwood vessels;;Hardwood;IAWA;58;;;;
IFC-59;VESSELS;Wood vesselless;Wood vesselless;;Hardwood;IAWA;59;;;;
IFC-60;TRACHEIDS AND FIBRES;Tracheids;Vascular / vasicentric tracheids present;;Hardwood;IAWA;60;;;;
IFC-61;TRACHEIDS AND FIBRES;Ground tissu fibres;Fibres with simple to minutely bordered pits;;Hardwood;IAWA;61;;;;
IFC-62;TRACHEIDS AND FIBRES;Ground tissu fibres;Fibres with distinctly bordered pits;;Hardwood;IAWA;62;;;;
IFC-63;TRACHEIDS AND FIBRES;Ground tissu fibres;Fibre pits common in both radial and tangential walls;;Hardwood;IAWA;63;;;;
IFC-64;TRACHEIDS AND FIBRES;Ground tissu fibres;Helical thickenings in ground tissue fibres;;Hardwood;IAWA;64;;;;
IFC-65;TRACHEIDS AND FIBRES;Septate fibres;Septate fibres present;;Hardwood;IAWA;65;;;;
IFC-66;TRACHEIDS AND FIBRES;Septate fibres;Non-septate fibres present;;Hardwood;IAWA;66;;;;
IFC-67;TRACHEIDS AND FIBRES;Parenchyma-like;Parenchyma-like fibre bands alternating with ordinary fibres;;Hardwood;IAWA;67;;;;
IFC-68;TRACHEIDS AND FIBRES;Fibre wall thickness;Fibres very thin-walled;;Hardwood;IAWA;68;;;;
