taxon,iawa_line
Vachellia myrmecophilia,"LEGUMINOSAE MIMOSOIDEAE Vachellia myrmecophilia (R.Vig.) Boatwr. (AROHA, KIRAVA, ROVANTSY, TRANTRIOTSY)|Synonym: LEGUMINOSAE MIMOSOIDEAE Acacia myrmecophila R. Vig."
Millettia lanepoolei,LEGUMINOSAE PAPILIONOIDEAE Millettia lanepoolei Dunn
Grewia androyensis,MALVACEAE GREWIOIDEAE Grewia androyensis Capuron
Grewia barorum,MALVACEAE GREWIOIDEAE Grewia barorum Capuron
Grewia coriaceae,"MALVACEAE GREWIOIDEAE Grewia coriaceae Mast. (AKENDEN, ARBRE Ã€ BRIQUET)|MALVACEAE GREWIOIDEAE Grewia oligoneura Sprague"
Grewia glyphaeiodes,MALVACEAE GREWIOIDEAE Grewia glyphaeiodes Baill.
Grewia maintiranensis,MALVACEAE GREWIOIDEAE Grewia maintiranensis Capuron
Grewia nucifera,MALVACEAE GREWIOIDEAE Grewia nucifera Capuron
Sparmannia africana,MALVACEAE GREWIOIDEAE Sparmannia africana L. f.
Spathandra blackeoides,MELASTOMATACEAE Spathandra blackeoides (G.Don) JacquesFelix
Astrotrichilia astrotricha,MELIACEAE Astrotrichilia astrotricha Cheek|MELIACEAE Astrotrichilia diegoensis Leroy et Lescot|MELIACEAE Astrotrichilia valiandra J.F. Leroy
Astrotrichilia normandii,MELIACEAE Astrotrichilia normandii J.F. Leroy|MELIACEAE Astrotrichilia parvifolia Leroy et Lescot|MELIACEAE Astrotrichilia thouvenotii J.F. Leroy
Turraeanthus africana,MELIACEAE Turraeanthus africana (Welw. ex C.DC.) Pellegr. (AVODIRE)|Synonym: MELIACEAE Turraeanthus zenkeri
Burasaia apetala,MENISPERMACEAE Burasaia apetala Capuron ex Westerhaus|MENISPERMACEAE Burasaia madagascariensis DC.
Syzygium rowlandi,MYRTACEAE Syzygium rowlandi Sprague (GUIESSIGUIEAKO)
Securinega antisingyensis,PHYLLANTHACEAE Securinega antisingyensis Leandri|PHYLLANTHACEAE Securinega capuronii|PHYLLANTHACEAE Securinega perrieri Leandri|PHYLLANTHACEAE Securinega seyrigii
Psydrax arnoldiana,RUBIACEAE Psydrax arnoldiana (De Wild. & T.Durand) Bridson|RUBIACEAE Psydrax horizontalis (Schum. & Thonn.) Bridson|RUBIACEAE Psydrax parviflorus (Afzel) Bridson|RUBIACEAE Psydrax subcordatus (DC.) Bridson
Tricalysia elliotii,RUBIACEAE Tricalysia elliotii (K.Schum.) Hutch. & Dalziel|RUBIACEAE Tricalysia okelensis Hiern
Vepris verdooniana,RUTACEAE Vepris verdooniana (Exell & Mend.) Mziray
Stadmania acuminanta,SAPINDACEAE Stadmania acuminanta R. Capuron
Stadmania excelsa,SAPINDACEAE Stadmania excelsa R. Capuron|SAPINDACEAE Stadmania glauca R. Capuron
Stadmania leandrii,SAPINDACEAE Stadmania leandrii R. Capuron
Stadmania oppositifolia,SAPINDACEAE Stadmania oppositifolia Lam.
Pouteria adolfi-friedericii,SAPOTACEAE Pouteria adolfi-friedericii (Engl.) A.Meeuse (ANINGERIA)|Synonym: SAPOTACEAE Aningeria adolfi-friederici
